# ------------------------------------------------------------------------------
#     name   network            x           		azimuth   USELESS      depth
# ------------------------------------------------------------------------------

       STb        M_0             5000.0              0.0    0.0      0.0
       STc        M_0             10000.0             0.0    0.0      0.0
       STd        M_0             15000.0             0.0    0.0      0.0
       STe        M_0             20000.0             0.0    0.0      0.0
       STf        M_0             25000.0             0.0    0.0      0.0
       STg        M_0             30000.0             0.0    0.0      0.0
       STh        M_0             35000.0             0.0    0.0      0.0
       STi        M_0             40000.0             0.0    0.0      0.0
       STj        M_0             45000.0             0.0    0.0      0.0
       STk        M_0             50000.0             0.0    0.0      0.0
       STl        M_0             55000.0             0.0    0.0      0.0
       STm        M_0             60000.0             0.0    0.0      0.0
       STn        M_0             65000.0             0.0    0.0      0.0
       STo        M_0             70000.0             0.0    0.0      0.0
       STp        M_0             75000.0             0.0    0.0      0.0
       STq        M_0             80000.0             0.0    0.0      0.0
       STr        M_0             85000.0             0.0    0.0      0.0
       STs        M_0             90000.0             0.0    0.0      0.0
       STt        M_0             95000.0             0.0    0.0      0.0
       STu        M_0             100000.0             0.0    0.0      0.0
       STv        M_0             105000.0             0.0    0.0      0.0	
       STw        M_0             110000.0             0.0    0.0      0.0
       STx        M_0             115000.0             0.0    0.0      0.0
       STy        M_0             120000.0             0.0    0.0      0.0
       STb        M_10472             5000.0              1.047197551    0.0      0.0
       STc        M_10472             10000.0             1.047197551    0.0      0.0
       STd        M_10472             15000.0             1.047197551    0.0      0.0
       STe        M_10472             20000.0             1.047197551    0.0      0.0
       STf        M_10472             25000.0             1.047197551    0.0      0.0
       STg        M_10472             30000.0             1.047197551    0.0      0.0
       STh        M_10472             35000.0             1.047197551    0.0      0.0
       STi        M_10472             40000.0             1.047197551    0.0      0.0
       STj        M_10472             45000.0             1.047197551    0.0      0.0
       STk        M_10472             50000.0             1.047197551    0.0      0.0
       STl        M_10472             55000.0             1.047197551    0.0      0.0
       STm        M_10472             60000.0             1.047197551    0.0      0.0
       STn        M_10472             65000.0             1.047197551    0.0      0.0
       STo        M_10472             70000.0             1.047197551    0.0      0.0
       STp        M_10472             75000.0             1.047197551    0.0      0.0
       STq        M_10472             80000.0             1.047197551    0.0      0.0
       STr        M_10472             85000.0             1.047197551    0.0      0.0
       STs        M_10472             90000.0             1.047197551    0.0      0.0
       STt        M_10472             95000.0             1.047197551    0.0      0.0
       STu        M_10472             100000.0             1.047197551    0.0      0.0
       STv        M_10472             105000.0             1.047197551    0.0      0.0	
       STw        M_10472             110000.0             1.047197551    0.0      0.0
       STx        M_10472             115000.0             1.047197551    0.0      0.0
       STy        M_10472             120000.0             1.047197551    0.0      0.0
       STa        M_20943             0.0             2.094395102    0.0      0.0
       STb        M_20943             5000.0              2.094395102    0.0      0.0
       STc        M_20943             10000.0             2.094395102    0.0      0.0
       STd        M_20943             15000.0             2.094395102    0.0      0.0
       STe        M_20943             20000.0             2.094395102    0.0      0.0
       STf        M_20943             25000.0             2.094395102    0.0      0.0
       STg        M_20943             30000.0             2.094395102    0.0      0.0
       STh        M_20943             35000.0             2.094395102    0.0      0.0
       STi        M_20943             40000.0             2.094395102    0.0      0.0
       STj        M_20943             45000.0             2.094395102    0.0      0.0
       STk        M_20943             50000.0             2.094395102    0.0      0.0
       STl        M_20943             55000.0             2.094395102    0.0      0.0
       STm        M_20943             60000.0             2.094395102    0.0      0.0
       STn        M_20943             65000.0             2.094395102    0.0      0.0
       STo        M_20943             70000.0             2.094395102    0.0      0.0
       STp        M_20943             75000.0             2.094395102    0.0      0.0
       STq        M_20943             80000.0             2.094395102    0.0      0.0
       STr        M_20943             85000.0             2.094395102    0.0      0.0
       STs        M_20943             90000.0             2.094395102    0.0      0.0
       STt        M_20943             95000.0             2.094395102    0.0      0.0
       STu        M_20943             100000.0             2.094395102    0.0      0.0
       STv        M_20943             105000.0             2.094395102    0.0      0.0	
       STw        M_20943             110000.0             2.094395102    0.0      0.0
       STx        M_20943             115000.0             2.094395102    0.0      0.0
       STy        M_20943             120000.0             2.094395102    0.0      0.0
       STb        M_31415             5000.0              3.141592654    0.0      0.0
       STc        M_31415             10000.0             3.141592654    0.0      0.0
       STd        M_31415             15000.0             3.141592654    0.0      0.0
       STe        M_31415             20000.0             3.141592654    0.0      0.0
       STf        M_31415             25000.0             3.141592654    0.0      0.0
       STg        M_31415             30000.0             3.141592654    0.0      0.0
       STh        M_31415             35000.0             3.141592654    0.0      0.0
       STi        M_31415             40000.0             3.141592654    0.0      0.0
       STj        M_31415             45000.0             3.141592654    0.0      0.0
       STk        M_31415             50000.0             3.141592654    0.0      0.0
       STl        M_31415             55000.0             3.141592654    0.0      0.0
       STm        M_31415             60000.0             3.141592654    0.0      0.0
       STn        M_31415             65000.0             3.141592654    0.0      0.0
       STo        M_31415             70000.0             3.141592654    0.0      0.0
       STp        M_31415             75000.0             3.141592654    0.0      0.0
       STq        M_31415             80000.0             3.141592654    0.0      0.0
       STr        M_31415             85000.0             3.141592654    0.0      0.0
       STs        M_31415             90000.0             3.141592654    0.0      0.0
       STt        M_31415             95000.0             3.141592654    0.0      0.0
       STu        M_31415             100000.0             3.141592654    0.0      0.0
       STv        M_31415             105000.0             3.141592654    0.0      0.0	
       STw        M_31415             110000.0             3.141592654    0.0      0.0
       STx        M_31415             115000.0             3.141592654    0.0      0.0
       STy        M_31415             120000.0             3.141592654    0.0      0.0

       
